CriticalPathDistance,Depth,NumNeighbours,NumRooms,CriticalPathLength
1,2,5,16,5
1,2,5,16,5
2,2,2,16,5
1,3,3,16,5
2,2,3,16,5
2,4,2,16,5
1,3,4,16,5
3,3,1,16,5
3,5,1,16,5
0,2,4,16,5
0,3,4,16,5
1,4,2,16,5
0,4,2,16,5
0,0,2,8,3
0,1,6,8,3
1,2,1,8,3
1,1,2,8,3
1,2,3,8,3
1,2,2,8,3
1,2,3,8,3
0,2,3,8,3
0,0,1,23,9
0,1,2,23,9
0,2,2,23,9
0,4,3,23,9
0,3,2,23,9
1,5,1,23,9
0,5,2,23,9
0,6,4,23,9
1,7,1,23,9
1,7,1,23,9
0,7,3,23,9
0,8,1,23,9
1,9,1,23,9
1,8,4,23,9
2,9,1,23,9
2,9,2,23,9
2,9,3,23,9
3,10,1,23,9
3,10,3,23,9
4,11,3,23,9
4,11,3,23,9
4,11,3,23,9
3,10,2,23,9
0,0,1,10,6
0,1,4,10,6
0,2,3,10,6
1,2,3,10,6
1,2,4,10,6
0,3,5,10,6
1,4,1,10,6
0,4,3,10,6
1,5,1,10,6
0,5,1,10,6
0,0,3,18,8
1,1,2,18,8
1,1,4,18,8
2,2,1,18,8
0,1,6,18,8
1,2,1,18,8
1,2,2,18,8
1,2,2,18,8
0,2,3,18,8
1,3,1,18,8
0,3,2,18,8
0,4,3,18,8
1,5,2,18,8
2,6,1,18,8
0,5,3,18,8
1,6,1,18,8
0,6,2,18,8
0,7,1,18,8
0,0,2,14,8
0,1,3,14,8
1,1,4,14,8
1,2,3,14,8
2,3,1,14,8
2,3,1,14,8
0,2,3,14,8
0,3,2,14,8
0,4,4,14,8
1,5,2,14,8
0,5,3,14,8
1,5,3,14,8
0,6,2,14,8
0,7,1,14,8
0,0,6,27,4
1,1,2,27,4
1,1,3,27,4
1,1,6,27,4
1,1,3,27,4
0,1,5,27,4
1,1,3,27,4
2,2,5,27,4
2,2,1,27,4
1,2,3,27,4
1,2,3,27,4
2,2,2,27,4
2,3,5,27,4
2,2,2,27,4
3,3,5,27,4
3,3,5,27,4
3,3,4,27,4
4,4,1,27,4
4,4,2,27,4
4,5,1,27,4
4,4,2,27,4
3,4,5,27,4
3,4,2,27,4
1,3,3,27,4
0,2,5,27,4
0,3,2,27,4
2,2,4,27,4
0,0,1,24,5
0,1,2,24,5
0,2,3,24,5
1,3,2,24,5
0,3,2,24,5
0,4,2,24,5
1,5,2,24,5
4,5,2,24,5
3,6,2,24,5
3,4,2,24,5
2,3,3,24,5
3,4,2,24,5
3,5,3,24,5
2,4,2,24,5
1,2,3,24,5
2,3,2,24,5
3,4,2,24,5
4,5,2,24,5
5,6,1,24,5
2,6,3,24,5
3,7,2,24,5
4,8,2,24,5
5,7,2,24,5
4,6,2,24,5
0,0,1,10,5
0,1,2,10,5
0,2,4,10,5
1,3,2,10,5
2,4,2,10,5
2,4,2,10,5
1,3,3,10,5
0,3,3,10,5
1,4,2,10,5
0,4,1,10,5
0,0,1,20,7
0,1,4,20,7
1,2,2,20,7
1,2,1,20,7
0,2,3,20,7
0,3,3,20,7
1,4,1,20,7
0,4,4,20,7
1,5,2,20,7
2,6,4,20,7
3,7,2,20,7
3,7,2,20,7
1,6,2,20,7
2,6,2,20,7
1,5,3,20,7
3,7,2,20,7
2,7,3,20,7
1,6,2,20,7
0,5,4,20,7
0,6,1,20,7
0,0,3,26,11
1,1,1,26,11
1,1,1,26,11
0,1,3,26,11
1,2,2,26,11
0,2,3,26,11
1,3,3,26,11
0,3,4,26,11
1,4,3,26,11
2,5,1,26,11
0,4,3,26,11
0,5,2,26,11
0,6,2,26,11
0,7,9,26,11
1,8,1,26,11
1,8,1,26,11
1,8,1,26,11
1,8,1,26,11
1,8,1,26,11
1,8,1,26,11
0,8,2,26,11
1,8,2,26,11
2,9,2,26,11
1,9,2,26,11
0,9,3,26,11
0,10,1,26,11
0,0,1,10,4
0,1,2,10,4
0,2,2,10,4
1,2,2,10,4
0,3,4,10,4
0,4,1,10,4
1,4,1,10,4
0,0,2,13,5
0,1,3,13,5
1,2,3,13,5
0,2,3,13,5
0,3,2,13,5
0,4,3,13,5
1,3,6,13,5
2,2,2,13,5
1,3,4,13,5
2,2,4,13,5
2,3,2,13,5
1,1,5,13,5
2,2,1,13,5
0,0,4,14,6
1,1,1,14,6
1,1,1,14,6
0,1,4,14,6
1,2,1,14,6
1,3,3,14,6
2,4,2,14,6
3,5,1,14,6
0,2,5,14,6
1,3,1,14,6
0,3,2,14,6
1,1,2,14,6
0,4,2,14,6
0,5,1,14,6
0,0,1,17,5
0,1,5,17,5
1,2,1,17,5
0,2,5,17,5
0,3,4,17,5
1,3,3,17,5
1,3,5,17,5
1,3,4,17,5
0,4,6,17,5
1,2,5,17,5
2,3,3,17,5
2,3,5,17,5
3,3,3,17,5
1,3,3,17,5
1,2,2,17,5
2,3,3,17,5
3,4,1,17,5
3,4,3,17,5
3,5,2,17,5
2,5,4,17,5
1,5,4,17,5
2,4,4,17,5
2,6,2,17,5
0,0,3,23,6
1,2,1,23,6
1,1,1,23,6
1,1,1,23,6
0,1,5,23,6
1,2,1,23,6
1,2,1,23,6
0,2,3,23,6
1,3,1,23,6
0,3,3,23,6
1,4,1,23,6
0,4,3,23,6
0,5,3,23,6
1,6,1,23,6
1,5,4,23,6
2,6,1,23,6
2,6,1,23,6
2,6,1,23,6
1,6,2,23,6
2,7,4,23,6
3,8,1,23,6
3,8,2,23,6
3,8,2,23,6
*,*,*,4,2
*,*,*,4,2
*,*,*,4,2
*,*,*,4,2
*,*,*,4,2
*,*,*,4,2
*,*,*,4,2
*,*,*,4,2
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,21,9
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,24,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,25,5
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,23,6
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,20,7
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4
*,*,*,27,4